nro_prueba;archivo;tiempo_codificacion;tiempo_decodificacion;size_encoded;size_original
1;random.10MB;1438;715;9165278;10485760
2;random.20MB;2886;1430;18329971;20971520
3;random.30MB;4315;2135;27494674;31457280
4;random.40MB;5740;2885;36659348;41943040
5;random.50MB;7149;3584;45824058;52428800
6;random.60MB;8585;4224;54988708;62914560
7;random.70MB;10190;4894;64153383;73400320
8;random.80MB;11620;5668;73318172;83886080
9;random.90MB;12878;6453;82482885;94371840
10;random.100MB;14269;7124;91647585;104857600
11;random.110MB;15615;7687;100812249;115343360
12;random.120MB;17439;8446;109976948;125829120
13;random.130MB;18563;9109;119141663;136314880
14;random.140MB;19980;9791;128306401;146800640
15;random.150MB;21383;10547;137471177;157286400
16;random.160MB;22940;11290;146635795;167772160
17;random.170MB;24196;12052;155800548;178257920
18;random.180MB;25662;12711;164965228;188743680
19;random.190MB;27010;13477;174129954;199229440
20;random.200MB;28642;14317;183294677;209715200
